|----------------------------------------|----------|
|----------------------------------------|----------|
|vertically                              |7         |
|----------------------------------------|----------|
|compact                                 |7         |
|----------------------------------------|----------|
|gradients                               |7         |
|----------------------------------------|----------|
|cylinders                               |7         |
|----------------------------------------|----------|
|embedded                                |7         |
|----------------------------------------|----------|
|compatible                              |7         |
|----------------------------------------|----------|
|subset                                  |7         |
|----------------------------------------|----------|
|properly                                |7         |
|----------------------------------------|----------|
|patches                                 |7         |
|----------------------------------------|----------|
|motivated                               |7         |
|----------------------------------------|----------|
|stack                                   |7         |
|----------------------------------------|----------|
|mannigfaltigkeit                        |7         |
|----------------------------------------|----------|
|emphasized                              |7         |
|----------------------------------------|----------|
|constrain                               |7         |
|----------------------------------------|----------|
|specified                               |7         |
|----------------------------------------|----------|
|hamilton                                |7         |
|----------------------------------------|----------|
|spherical                               |7         |
|----------------------------------------|----------|
|intrinsic                               |7         |
|----------------------------------------|----------|
|considers                               |7         |
|----------------------------------------|----------|
|loop                                    |7         |
|----------------------------------------|----------|
|doyle                                   |7         |
|----------------------------------------|----------|
|examination                             |7         |
|----------------------------------------|----------|
|pillar                                  |7         |
|----------------------------------------|----------|
|harry                                   |7         |
|----------------------------------------|----------|
|utah                                    |7         |
|----------------------------------------|----------|
|reconstructed                           |7         |
|----------------------------------------|----------|
|realized                                |7         |
|----------------------------------------|----------|
|camptosaurus                            |7         |
|----------------------------------------|----------|
|clade                                   |7         |
|----------------------------------------|----------|
|nose                                    |7         |
|----------------------------------------|----------|
|taylor                                  |7         |
|----------------------------------------|----------|
|bernard                                 |7         |
|----------------------------------------|----------|
|hoc                                     |7         |
|----------------------------------------|----------|
|silently                                |7         |
|----------------------------------------|----------|
|odds                                    |7         |
|----------------------------------------|----------|
|punished                                |7         |
|----------------------------------------|----------|
|gone                                    |7         |
|----------------------------------------|----------|
|presumably                              |7         |
|----------------------------------------|----------|
|stroke                                  |7         |
|----------------------------------------|----------|
|powell                                  |7         |
|----------------------------------------|----------|
|jane                                    |7         |
|----------------------------------------|----------|
|heiress                                 |7         |
|----------------------------------------|----------|
|elizabeth                               |7         |
|----------------------------------------|----------|
|skilled                                 |7         |
|----------------------------------------|----------|
|berinthia                               |7         |
|----------------------------------------|----------|
|puts                                    |7         |
|----------------------------------------|----------|
|parcels                                 |7         |
|----------------------------------------|----------|
|columbian                               |7         |
|----------------------------------------|----------|
|reflects                                |7         |
|----------------------------------------|----------|
|troughs                                 |7         |
|----------------------------------------|----------|
|oscillating                             |7         |
|----------------------------------------|----------|
|suicide                                 |7         |
|----------------------------------------|----------|
|copper                                  |7         |
|----------------------------------------|----------|
|hurston                                 |7         |
|----------------------------------------|----------|
|mckay                                   |7         |
|----------------------------------------|----------|
|broadly                                 |7         |
|----------------------------------------|----------|
|lecturer                                |7         |
|----------------------------------------|----------|
|reprinted                               |7         |
|----------------------------------------|----------|
|surprising                              |7         |
|----------------------------------------|----------|
|uncommon                                |7         |
|----------------------------------------|----------|
|haley                                   |7         |
|----------------------------------------|----------|
|integral                                |7         |
|----------------------------------------|----------|
|characterised                           |7         |
|----------------------------------------|----------|
|participating                           |7         |
|----------------------------------------|----------|
|lena                                    |7         |
|----------------------------------------|----------|
|symphony                                |7         |
|----------------------------------------|----------|
|sermon                                  |7         |
|----------------------------------------|----------|
|danielsen                               |7         |
|----------------------------------------|----------|
|maria                                   |7         |
|----------------------------------------|----------|
|brethren                                |7         |
|----------------------------------------|----------|
|harbour                                 |7         |
|----------------------------------------|----------|
|terrain                                 |7         |
|----------------------------------------|----------|
|recovering                              |7         |
|----------------------------------------|----------|
|coordinates                             |7         |
|----------------------------------------|----------|
|compromise                              |7         |
|----------------------------------------|----------|
|flourished                              |7         |
|----------------------------------------|----------|
|naming                                  |7         |
|----------------------------------------|----------|
|monks                                   |7         |
|----------------------------------------|----------|
|reyjar                                  |7         |
|----------------------------------------|----------|
|spectral                                |7         |
|----------------------------------------|----------|
|hawaii                                  |7         |
|----------------------------------------|----------|
|cooling                                 |7         |
|----------------------------------------|----------|
|mbar                                    |7         |
|----------------------------------------|----------|
|bars                                    |7         |
|----------------------------------------|----------|
|labeling                                |7         |
|----------------------------------------|----------|
|collided                                |7         |
|----------------------------------------|----------|
|lexell                                  |7         |
|----------------------------------------|----------|
|naked                                   |7         |
|----------------------------------------|----------|
|deity                                   |7         |
|----------------------------------------|----------|
|enacted                                 |7         |
|----------------------------------------|----------|
|coverage                                |7         |
|----------------------------------------|----------|
|fence                                   |7         |
|----------------------------------------|----------|
|prosecution                             |7         |
|----------------------------------------|----------|
|cruel                                   |7         |
|----------------------------------------|----------|
|commitments                             |7         |
|----------------------------------------|----------|
|fade                                    |7         |
|----------------------------------------|----------|
|unwilling                               |7         |
|----------------------------------------|----------|
|joachim                                 |7         |
|----------------------------------------|----------|
|cemetery                                |7         |
|----------------------------------------|----------|
|czech                                   |7         |
|----------------------------------------|----------|
|missing                                 |7         |
|----------------------------------------|----------|
|sikorski                                |7         |
|----------------------------------------|----------|
|franciszek                              |7         |
|----------------------------------------|----------|
|mikhail                                 |7         |
|----------------------------------------|----------|
|interviews                              |7         |
|----------------------------------------|----------|
|genocide                                |7         |
|----------------------------------------|----------|
|saxony                                  |7         |
|----------------------------------------|----------|
|uvb                                     |7         |
|----------------------------------------|----------|
|stereotactic                            |7         |
|----------------------------------------|----------|
|beneficial                              |7         |
|----------------------------------------|----------|
|cisplatin                               |7         |
|----------------------------------------|----------|
|surgically                              |7         |
|----------------------------------------|----------|
|supplemental                            |7         |
|----------------------------------------|----------|
|campaigning                             |7         |
|----------------------------------------|----------|
|banned                                  |7         |
|----------------------------------------|----------|
|cornwall                                |7         |
|----------------------------------------|----------|
|worst                                   |7         |
|----------------------------------------|----------|
|subtype                                 |7         |
|----------------------------------------|----------|
|dogmatic                                |7         |
|----------------------------------------|----------|
|implication                             |7         |
|----------------------------------------|----------|
|donald                                  |7         |
|----------------------------------------|----------|
|yugoslav                                |7         |
|----------------------------------------|----------|
|confessions                             |7         |
|----------------------------------------|----------|
|revolts                                 |7         |
|----------------------------------------|----------|
|fascist                                 |7         |
|----------------------------------------|----------|
|filter                                  |7         |
|----------------------------------------|----------|
|revision                                |7         |
|----------------------------------------|----------|
|journalists                             |7         |
|----------------------------------------|----------|
|readily                                 |7         |
|----------------------------------------|----------|
|sympathetic                             |7         |
|----------------------------------------|----------|
|derogatory                              |7         |
|----------------------------------------|----------|
|mainstream                              |7         |
|----------------------------------------|----------|
|nascent                                 |7         |
|----------------------------------------|----------|
|pangere                                 |7         |
|----------------------------------------|----------|
|cognitive                               |7         |
|----------------------------------------|----------|
|urdu                                    |6         |
|----------------------------------------|----------|
|ezra                                    |6         |
|----------------------------------------|----------|
|psalms                                  |6         |
|----------------------------------------|----------|
|transliteration                         |6         |
|----------------------------------------|----------|
|tennessee                               |6         |
|----------------------------------------|----------|
|itasca                                  |6         |
|----------------------------------------|----------|
|peacock                                 |6         |
|----------------------------------------|----------|
|marvelman                               |6         |
|----------------------------------------|----------|
|infringement                            |6         |
|----------------------------------------|----------|
|devatas                                 |6         |
|----------------------------------------|----------|
|suryavarman                             |6         |
|----------------------------------------|----------|
|noni                                    |6         |
|----------------------------------------|----------|
|buoyancy                                |6         |
|----------------------------------------|----------|
|hindenburg                              |6         |
|----------------------------------------|----------|
|lugdunum                                |6         |
|----------------------------------------|----------|
|shifting                                |6         |
|----------------------------------------|----------|
|sinai                                   |6         |
|----------------------------------------|----------|
|fatimid                                 |6         |
|----------------------------------------|----------|
|salah                                   |6         |
|----------------------------------------|----------|
|barbiere                                |6         |
|----------------------------------------|----------|
|wepner                                  |6         |
|----------------------------------------|----------|
|ropes                                   |6         |
|----------------------------------------|----------|
|messenger                               |6         |
|----------------------------------------|----------|
|fights                                  |6         |
|----------------------------------------|----------|
|sonny                                   |6         |
|----------------------------------------|----------|
|cassius                                 |6         |
|----------------------------------------|----------|
|entrusted                               |6         |
|----------------------------------------|----------|
|covenants                               |6         |
|----------------------------------------|----------|
|porter                                  |6         |
|----------------------------------------|----------|
|flanks                                  |6         |
|----------------------------------------|----------|
|caucasus                                |6         |
|----------------------------------------|----------|
|prayer                                  |6         |
|----------------------------------------|----------|
|treasury                                |6         |
|----------------------------------------|----------|
|episcopate                              |6         |
|----------------------------------------|----------|
|rosalind                                |6         |
|----------------------------------------|----------|
|hellenistic                             |6         |
|----------------------------------------|----------|
|burgundy                                |6         |
|----------------------------------------|----------|
|flanked                                 |6         |
|----------------------------------------|----------|
|nudes                                   |6         |
|----------------------------------------|----------|
|scoring                                 |6         |
|----------------------------------------|----------|
|shootout                                |6         |
|----------------------------------------|----------|
|seemingly                               |6         |
|----------------------------------------|----------|
|newark                                  |6         |
|----------------------------------------|----------|
|halifax                                 |6         |
|----------------------------------------|----------|
|prestigious                             |6         |
|----------------------------------------|----------|
|emily                                   |6         |
|----------------------------------------|----------|
|veld                                    |6         |
|----------------------------------------|----------|
|convoy                                  |6         |
|----------------------------------------|----------|
|besiege                                 |6         |
|----------------------------------------|----------|
|poured                                  |6         |
|----------------------------------------|----------|
|eurozone                                |6         |
|----------------------------------------|----------|
|confederacy                             |6         |
|----------------------------------------|----------|
|photography                             |6         |
|----------------------------------------|----------|
|mesons                                  |6         |
|----------------------------------------|----------|
|operable                                |6         |
|----------------------------------------|----------|
|tract                                   |6         |
|----------------------------------------|----------|
|glatiramer                              |6         |
|----------------------------------------|----------|
|beta                                    |6         |
|----------------------------------------|----------|
|susceptibility                          |6         |
|----------------------------------------|----------|
|remitting                               |6         |
|----------------------------------------|----------|
|lesions                                 |6         |
|----------------------------------------|----------|
|oligodendrocytes                        |6         |
|----------------------------------------|----------|
|charcot                                 |6         |
|----------------------------------------|----------|
|dieudonn                                |6         |
|----------------------------------------|----------|
|katte                                   |6         |
|----------------------------------------|----------|
|tariffs                                 |6         |
|----------------------------------------|----------|
|crucifixion                             |6         |
|----------------------------------------|----------|
|pregnancy                               |6         |
|----------------------------------------|----------|
|justinian                               |6         |
|----------------------------------------|----------|
|skiing                                  |6         |
|----------------------------------------|----------|
|imports                                 |6         |
|----------------------------------------|----------|
|expectancy                              |6         |
|----------------------------------------|----------|
|weddings                                |6         |
|----------------------------------------|----------|
|inflected                               |6         |
|----------------------------------------|----------|
|karelia                                 |6         |
|----------------------------------------|----------|
|gatherers                               |6         |
|----------------------------------------|----------|
|sights                                  |6         |
|----------------------------------------|----------|
|trench                                  |6         |
|----------------------------------------|----------|
|mauser                                  |6         |
|----------------------------------------|----------|
|foul                                    |6         |
|----------------------------------------|----------|
|salon                                   |6         |
|----------------------------------------|----------|
|expulsion                               |6         |
|----------------------------------------|----------|
|concurrently                            |6         |
|----------------------------------------|----------|
|centred                                 |6         |
|----------------------------------------|----------|
|cement                                  |6         |
|----------------------------------------|----------|
|sunk                                    |6         |
|----------------------------------------|----------|
|guam                                    |6         |
|----------------------------------------|----------|
|sugar                                   |6         |
|----------------------------------------|----------|
|miller                                  |6         |
|----------------------------------------|----------|
|testimony                               |6         |
|----------------------------------------|----------|
|quoted                                  |6         |
|----------------------------------------|----------|
|episcopalian                            |6         |
|----------------------------------------|----------|
|financing                               |6         |
|----------------------------------------|----------|
|malcomson                               |6         |
|----------------------------------------|----------|
|decode                                  |6         |
|----------------------------------------|----------|
|consumed                                |6         |
|----------------------------------------|----------|
|counts                                  |6         |
|----------------------------------------|----------|
|synchronous                             |6         |
|----------------------------------------|----------|
|reliance                                |6         |
|----------------------------------------|----------|
|injection                               |6         |
|----------------------------------------|----------|
|coordination                            |6         |
|----------------------------------------|----------|
|jules                                   |6         |
|----------------------------------------|----------|
|inevitable                              |6         |
|----------------------------------------|----------|
|discern                                 |6         |
|----------------------------------------|----------|
|proletarians                            |6         |
|----------------------------------------|----------|
|peasants                                |6         |
|----------------------------------------|----------|
|inherent                                |6         |
|----------------------------------------|----------|
|carved                                  |6         |
|----------------------------------------|----------|
|objections                              |6         |
|----------------------------------------|----------|
|vera                                    |6         |
|----------------------------------------|----------|
|epistemological                         |6         |
|----------------------------------------|----------|
|rousseau                                |6         |
|----------------------------------------|----------|
|dictatorship                            |6         |
|----------------------------------------|----------|
|economist                               |6         |
|----------------------------------------|----------|
|neptunian                               |6         |
|----------------------------------------|----------|
|valuable                                |6         |
|----------------------------------------|----------|
|dwarf                                   |6         |
|----------------------------------------|----------|
|decoration                              |6         |
|----------------------------------------|----------|
|landmarks                               |6         |
|----------------------------------------|----------|
|westminster                             |6         |
|----------------------------------------|----------|
|impetus                                 |6         |
|----------------------------------------|----------|
|trojans                                 |6         |
|----------------------------------------|----------|
|provincial                              |6         |
|----------------------------------------|----------|
|pirates                                 |6         |
|----------------------------------------|----------|
|jpg                                     |6         |
|----------------------------------------|----------|
|migrants                                |6         |
|----------------------------------------|----------|
|mesopotamian                            |6         |
|----------------------------------------|----------|
|styluses                                |6         |
|----------------------------------------|----------|
|vai                                     |6         |
|----------------------------------------|----------|
|insufficient                            |6         |
|----------------------------------------|----------|
|transactions                            |6         |
|----------------------------------------|----------|
|citing                                  |6         |
|----------------------------------------|----------|
|precipitated                            |6         |
|----------------------------------------|----------|
|biggest                                 |6         |
|----------------------------------------|----------|
|cutting                                 |6         |
|----------------------------------------|----------|
|glory                                   |6         |
|----------------------------------------|----------|
|relied                                  |6         |
|----------------------------------------|----------|
|replied                                 |6         |
|----------------------------------------|----------|
|partitioned                             |6         |
|----------------------------------------|----------|
|sued                                    |6         |
|----------------------------------------|----------|
|madrid                                  |6         |
|----------------------------------------|----------|
|jerome                                  |6         |
|----------------------------------------|----------|
|proud                                   |6         |
|----------------------------------------|----------|
|milan                                   |6         |
|----------------------------------------|----------|
|succession                              |6         |
|----------------------------------------|----------|
|imminent                                |6         |
|----------------------------------------|----------|
|reconcile                               |6         |
|----------------------------------------|----------|
|numerically                             |6         |
|----------------------------------------|----------|
|venice                                  |6         |
|----------------------------------------|----------|
|pius                                    |6         |
|----------------------------------------|----------|
|triumph                                 |6         |
|----------------------------------------|----------|
|evacuate                                |6         |
|----------------------------------------|----------|
|valence                                 |6         |
|----------------------------------------|----------|
|brienne                                 |6         |
|----------------------------------------|----------|
|marketed                                |6         |
|----------------------------------------|----------|
|chicken                                 |6         |
|----------------------------------------|----------|
|campbell                                |6         |
|----------------------------------------|----------|
|deficit                                 |6         |
|----------------------------------------|----------|
|militia                                 |6         |
|----------------------------------------|----------|
|presidency                              |6         |
|----------------------------------------|----------|
|bantu                                   |6         |
|----------------------------------------|----------|
|denis                                   |6         |
|----------------------------------------|----------|
|brazzaville                             |6         |
|----------------------------------------|----------|
|iodide                                  |6         |
|----------------------------------------|----------|
|freezing                                |6         |
|----------------------------------------|----------|
|wounds                                  |6         |
|----------------------------------------|----------|
|quantities                              |6         |
|----------------------------------------|----------|
|evaporation                             |6         |
|----------------------------------------|----------|
|condiment                               |6         |
|----------------------------------------|----------|
|mikael                                  |6         |
|----------------------------------------|----------|
|skeptical                               |6         |
|----------------------------------------|----------|
|decoys                                  |6         |
|----------------------------------------|----------|
|clutter                                 |6         |
|----------------------------------------|----------|
|indicator                               |6         |
|----------------------------------------|----------|
|deployment                              |6         |
|----------------------------------------|----------|
|mastiff                                 |6         |
|----------------------------------------|----------|
|littoral                                |6         |
|----------------------------------------|----------|
|beaten                                  |6         |
|----------------------------------------|----------|
|suspended                               |6         |
|----------------------------------------|----------|
|welded                                  |6         |
|----------------------------------------|----------|
|ciws                                    |6         |
|----------------------------------------|----------|
|coral                                   |6         |
|----------------------------------------|----------|
|panama                                  |6         |
|----------------------------------------|----------|
|predicting                              |6         |
|----------------------------------------|----------|
|empirical                               |6         |
|----------------------------------------|----------|
|myself                                  |6         |
|----------------------------------------|----------|
|fuse                                    |6         |
|----------------------------------------|----------|
|improving                               |6         |
|----------------------------------------|----------|
|markings                                |6         |
|----------------------------------------|----------|
|franz                                   |6         |
|----------------------------------------|----------|
|exemplified                             |6         |
|----------------------------------------|----------|
|marga                                   |6         |
|----------------------------------------|----------|
|regulating                              |6         |
|----------------------------------------|----------|
|banking                                 |6         |
|----------------------------------------|----------|
|bits                                    |6         |
|----------------------------------------|----------|
|enhanced                                |6         |
|----------------------------------------|----------|
|mosaic                                  |6         |
|----------------------------------------|----------|
|crucial                                 |6         |
|----------------------------------------|----------|
|cern                                    |6         |
|----------------------------------------|----------|
|shortened                               |6         |
|----------------------------------------|----------|
|documented                              |6         |
|----------------------------------------|----------|
|lance                                   |6         |
|----------------------------------------|----------|
|displays                                |6         |
|----------------------------------------|----------|
|transient                               |6         |
|----------------------------------------|----------|
|milk                                    |6         |
|----------------------------------------|----------|
|inches                                  |6         |
|----------------------------------------|----------|
|cetacean                                |6         |
|----------------------------------------|----------|
|sequencing                              |6         |
|----------------------------------------|----------|
|collisions                              |6         |
|----------------------------------------|----------|
|stocks                                  |6         |
|----------------------------------------|----------|
|breed                                   |6         |
|----------------------------------------|----------|
|trailers                                |6         |
|----------------------------------------|----------|
|companions                              |6         |
|----------------------------------------|----------|
|resolves                                |6         |
|----------------------------------------|----------|
|jecht                                   |6         |
|----------------------------------------|----------|
|blitzball                               |6         |
|----------------------------------------|----------|
|machina                                 |6         |
|----------------------------------------|----------|
|sacrifice                               |6         |
|----------------------------------------|----------|
|decreasing                              |6         |
|----------------------------------------|----------|
|breaks                                  |6         |
|----------------------------------------|----------|
|facial                                  |6         |
|----------------------------------------|----------|
|cbs                                     |6         |
|----------------------------------------|----------|
|espn                                    |6         |
|----------------------------------------|----------|
|rick                                    |6         |
|----------------------------------------|----------|
|spending                                |6         |
|----------------------------------------|----------|
|neighbors                               |6         |
|----------------------------------------|----------|
|wrestling                               |6         |
|----------------------------------------|----------|
|fraternity                              |6         |
|----------------------------------------|----------|
|gilbert                                 |6         |
|----------------------------------------|----------|
|golf                                    |6         |
|----------------------------------------|----------|
|ronald                                  |6         |
|----------------------------------------|----------|
|tennis                                  |6         |
|----------------------------------------|----------|
|encompasses                             |6         |
|----------------------------------------|----------|
|rafael                                  |6         |
|----------------------------------------|----------|
|spends                                  |6         |
|----------------------------------------|----------|
|geared                                  |6         |
|----------------------------------------|----------|
|ncaa                                    |6         |
|----------------------------------------|----------|
|soccer                                  |6         |
|----------------------------------------|----------|
|perkins                                 |6         |
|----------------------------------------|----------|
|hospitals                               |6         |
|----------------------------------------|----------|
|randolph                                |6         |
|----------------------------------------|----------|
|minorities                              |6         |
|----------------------------------------|----------|
|endowment                               |6         |
|----------------------------------------|----------|
|footage                                 |6         |
|----------------------------------------|----------|
|steady                                  |6         |
|----------------------------------------|----------|
|solve                                   |6         |
|----------------------------------------|----------|
|font                                    |6         |
|----------------------------------------|----------|
|owing                                   |6         |
|----------------------------------------|----------|
|owns                                    |6         |
|----------------------------------------|----------|
|bicameral                               |6         |
|----------------------------------------|----------|
|minneapolis                             |6         |
|----------------------------------------|----------|
|bnsf                                    |6         |
|----------------------------------------|----------|
|rental                                  |6         |
|----------------------------------------|----------|
|statistical                             |6         |
|----------------------------------------|----------|
|surpassed                               |6         |
|----------------------------------------|----------|
|conveys                                 |6         |
|----------------------------------------|----------|
|precipitation                           |6         |
|----------------------------------------|----------|
|snake                                   |6         |
|----------------------------------------|----------|
|nevada                                  |6         |
|----------------------------------------|----------|
|legends                                 |6         |
|----------------------------------------|----------|
|discarded                               |6         |
|----------------------------------------|----------|
|pensions                                |6         |
|----------------------------------------|----------|
|drops                                   |6         |
|----------------------------------------|----------|
|parody                                  |6         |
|----------------------------------------|----------|
|stability                               |6         |
|----------------------------------------|----------|
|lends                                   |6         |
|----------------------------------------|----------|
|funded                                  |6         |
|----------------------------------------|----------|
|ought                                   |6         |
|----------------------------------------|----------|
|hunted                                  |6         |
|----------------------------------------|----------|
|implementing                            |6         |
|----------------------------------------|----------|
|pf                                      |6         |
|----------------------------------------|----------|
|sees                                    |6         |
|----------------------------------------|----------|
|unnecessary                             |6         |
|----------------------------------------|----------|
|hits                                    |6         |
|----------------------------------------|----------|
|puffy                                   |6         |
|----------------------------------------|----------|
|berkeley                                |6         |
|----------------------------------------|----------|
|licensing                               |6         |
|----------------------------------------|----------|
|imagine                                 |6         |
|----------------------------------------|----------|
|equivalence                             |6         |
|----------------------------------------|----------|
|diffeomorphisms                         |6         |
|----------------------------------------|----------|
|calculations                            |6         |
|----------------------------------------|----------|
|hausdorff                               |6         |
