|----------------------------------------|----------|
|speeds                                  |97        |
|----------------------------------------|----------|
|stage                                   |96        |
|----------------------------------------|----------|
|september                               |96        |
|----------------------------------------|----------|
|round                                   |96        |
|----------------------------------------|----------|
|rich                                    |96        |
|----------------------------------------|----------|
|mississippi                             |96        |
|----------------------------------------|----------|
|kill                                    |96        |
|----------------------------------------|----------|
|independent                             |96        |
